houseName,address,price,room,bathroom,totalSqft,psf,type,ownership,builtYear,id,detailLink
The Coast at Sentosa Cove,278 Ocean Drive,"S$ 3,880,000",3,4,2024 sqft,"S$ 1,917.00 psf",Condominium,99-year Leasehold,Built: 2010,24436443,https://www.propertyguru.com.sg/listing/for-sale-the-coast-at-sentosa-cove-24436443
663C Punggol Drive,663C Punggol Drive,"S$ 750,000",3,2,1184 sqft,S$ 633.45 psf,HDB Flat,99-year Leasehold,Built: 2015,24793011,https://www.propertyguru.com.sg/listing/hdb-for-sale-663c-punggol-drive-24793011
Reflections at Keppel Bay,23 Keppel Bay View,"S$ 5,188,888",4,3,2626 sqft,"S$ 1,975.97 psf",Condominium,99-year Leasehold,Built: 2013,24597787,https://www.propertyguru.com.sg/listing/for-sale-reflections-at-keppel-bay-24597787
Reflections at Keppel Bay,33 Keppel Bay View,"S$ 7,100,000",4,5,2605 sqft,"S$ 2,725.53 psf",Condominium,99-year Leasehold,Built: 2013,24827101,https://www.propertyguru.com.sg/listing/for-sale-reflections-at-keppel-bay-24827101
326 Yishun Ring Road,326 Yishun Ring Road,"S$ 1,068,000",4,3,1646 sqft,S$ 648.85 psf,HDB Flat,99-year Leasehold,Built: 1988,24797755,https://www.propertyguru.com.sg/listing/hdb-for-sale-326-yishun-ring-road-24797755
Parc Clematis,8E Jalan Lempeng,"S$ 1,500,000",2,1,689 sqft,"S$ 2,177.07 psf",Condominium,99-year Leasehold,New Project: 2023,24812636,https://www.propertyguru.com.sg/listing/for-sale-parc-clematis-24812636
Katong V,30 East Coast Road,"S$ 3,688,888",5,3,"2298 sqft (floor), 866 sqft (land)","S$ 4,259.69 psf",,Freehold,,24679920,https://www.propertyguru.com.sg/listing/for-sale-katong-v-24679920
103 Jurong East Street 13,103 Jurong East Street 13,"S$ 688,000",3,2,1291 sqft,S$ 532.92 psf,HDB Flat,99-year Leasehold,Built: 1982,24771501,https://www.propertyguru.com.sg/listing/hdb-for-sale-103-jurong-east-street-13-24771501
Kembangan renovated 2.5 storey inter terrace for sale,Jln Selamat,"S$ 4,200,000",5,3,"3000 sqft (floor), 1889 sqft (land)","S$ 2,223.40 psf",Terraced House,Freehold,,24776826,https://www.propertyguru.com.sg/listing/for-sale-kembangan-renovated-2-5-storey-inter-terrace-for-sale-24776826
Parc Botannia,18 Fernvale Street,"S$ 1,400,000",3,2,872 sqft,"S$ 1,605.50 psf",Condominium,99-year Leasehold,Built: 2022,24402113,https://www.propertyguru.com.sg/listing/for-sale-parc-botannia-24402113
Costa Del Sol,72 Bayshore Road,"S$ 3,300,000",4,3,2196 sqft,"S$ 1,502.73 psf",Condominium,99-year Leasehold,Built: 2004,24781593,https://www.propertyguru.com.sg/listing/for-sale-costa-del-sol-24781593
"High Ceiling 3 Storey Freehold Semi D @ D14, Less than 10 mins walk to Kembangan MRT and Amenities",Lorong Marican,"S$ 5,500,000",6,5,"3000 sqft (floor), 2328 sqft (land)","S$ 2,362.54 psf",Semi-Detached House,Freehold,Built: 2000,24192571,https://www.propertyguru.com.sg/listing/for-sale-high-ceiling-3-storey-freehold-semi-d-d14-less-than-10-mins-walk-to-kembangan-mrt-and-amenities-24192571
One Pearl Bank,1 Pearl Bank,"S$ 2,999,999",3,3,1098 sqft,"S$ 2,732.24 psf",Condominium,99-year Leasehold,New Project: 2024,24813203,https://www.propertyguru.com.sg/listing/for-sale-one-pearl-bank-24813203
JadeScape,6 Shunfu Road,"S$ 1,130,000",1,1,527 sqft,"S$ 2,144.21 psf",Condominium,99-year Leasehold,New Project: 2023,24334752,https://www.propertyguru.com.sg/listing/for-sale-jadescape-24334752
Sengkang Grand Residences,82 Compassvale Bow,"S$ 1,249,999",2,1,624 sqft,"S$ 2,003.20 psf",Condominium,99-year Leasehold,New Project: 2023,24834259,https://www.propertyguru.com.sg/listing/for-sale-sengkang-grand-residences-24834259
Sengkang Grand Residences,76 Compassvale Bow,"S$ 1,010,000",1,1,474 sqft,"S$ 2,130.80 psf",Condominium,99-year Leasehold,New Project: 2023,24833471,https://www.propertyguru.com.sg/listing/for-sale-sengkang-grand-residences-24833471
450C Bukit Batok West Avenue 6,450C Bukit Batok West Avenue 6,"S$ 820,000",3,2,1238 sqft,S$ 662.36 psf,HDB Flat,99-year Leasehold,Built: 2019,24443691,https://www.propertyguru.com.sg/listing/hdb-for-sale-450c-bukit-batok-west-avenue-6-24443691
Tribeca by the Waterfront,60 Kim Seng Road,"S$ 1,360,000",1,1,517 sqft,"S$ 2,630.56 psf",Condominium,Freehold,Built: 2010,24800638,https://www.propertyguru.com.sg/listing/for-sale-tribeca-by-the-waterfront-24800638
⭐️ Margoliouth Elevated Plot Stunning Views Wide Frontage Stevens MRT Beside Botanic Garden ⭐️,Margoliouth/Dalvey Estate/Lewis /White House Park,"S$ 25,880,000",10,10,"11500 sqft (floor), 9637 sqft (land)","S$ 2,685.48 psf",Bungalow House,Freehold,,23959071,https://www.propertyguru.com.sg/listing/for-sale-margoliouth-elevated-plot-stunning-views-wide-frontage-stevens-mrt-beside-botanic-garden-23959071
292C Bukit Batok East Avenue 6,292C Bukit Batok East Avenue 6,"S$ 760,000",3,2,1001 sqft,S$ 759.24 psf,HDB Flat,99-year Leasehold,Built: 2017,24719321,https://www.propertyguru.com.sg/listing/hdb-for-sale-292c-bukit-batok-east-avenue-6-24719321
449B Bukit Batok West Avenue 9,449B Bukit Batok West Avenue 9,"S$ 600,000",3,2,1001 sqft,S$ 599.40 psf,HDB Flat,99-year Leasehold,Built: 2017,24778139,https://www.propertyguru.com.sg/listing/hdb-for-sale-449b-bukit-batok-west-avenue-9-24778139
2 Teck Whye Avenue,2 Teck Whye Avenue,"S$ 410,000",2,2,797 sqft,S$ 514.43 psf,HDB Flat,99-year Leasehold,Built: 1983,24847044,https://www.propertyguru.com.sg/listing/hdb-for-sale-2-teck-whye-avenue-24847044
Penrose,30 Sims Drive,"S$ 2,250,000",3,3,1065 sqft,"S$ 2,112.68 psf",Condominium,99-year Leasehold,New Project: 2025,24812445,https://www.propertyguru.com.sg/listing/for-sale-penrose-24812445
The Florence Residences,93 Hougang Avenue 2,"S$ 2,650,000",4,3,1292 sqft,"S$ 2,051.08 psf",Condominium,99-year Leasehold,New Project: 2023,24813996,https://www.propertyguru.com.sg/listing/for-sale-the-florence-residences-24813996
Springside Drive,Springside Drive,"S$ 6,500,000",7,6,"5000 sqft (floor), 4640 sqft (land)","S$ 1,400.86 psf",Detached House,Freehold,Built: 1998,24462371,https://www.propertyguru.com.sg/listing/for-sale-springside-drive-24462371
The Florence Residences,83 Hougang Avenue 2,"S$ 1,688,888",3,2,926 sqft,"S$ 1,823.85 psf",Condominium,99-year Leasehold,New Project: 2023,24616894,https://www.propertyguru.com.sg/listing/for-sale-the-florence-residences-24616894
178A Rivervale Crescent,178A Rivervale Crescent,"S$ 580,000",3,2,1000 sqft,S$ 580.00 psf,HDB Flat,99-year Leasehold,Built: 2013,23953228,https://www.propertyguru.com.sg/listing/hdb-for-sale-178a-rivervale-crescent-23953228
Freehold Semi Detached @ Eaton Walk,Eaton walk/Yio Chu Kang Road,"S$ 4,380,000",5,4,"2627 sqft (floor), 2153 sqft (land)","S$ 2,034.37 psf",Semi-Detached House,Freehold,Built: 1996,24546382,https://www.propertyguru.com.sg/listing/for-sale-freehold-semi-detached-eaton-walk-24546382
367 Bukit Batok Street 31,367 Bukit Batok Street 31,"S$ 435,000",2,2,732 sqft,S$ 594.26 psf,HDB Flat,99-year Leasehold,Built: 1985,24794756,https://www.propertyguru.com.sg/listing/hdb-for-sale-367-bukit-batok-street-31-24794756
One Draycott,1 Draycott Park,"S$ 2,360,000",2,2,732 sqft,"S$ 3,224.04 psf",Condominium,Freehold,Built: 2022,24806279,https://www.propertyguru.com.sg/listing/for-sale-one-draycott-24806279
